"word","translation","pronunciation","category","example","exampleTranslation"
"Découvre en silence","Discover in silence","/de.kuvʁ.ɑ̃.si.lɑ̃s/","La Maison - House (Phrases)","Parfois il faut découvre en silence pour comprendre.","Sometimes you must discover in silence to understand."
"Découvre l’inattendu","Discover the unexpected","/de.kuvʁ.lɛ̃.na.tɑ̃.dy/","La Maison - House (Phrases)","Voyager te permet de découvre l’inattendu.","Traveling allows you to discover the unexpected."
"Découvre la nature","Discover nature","/de.kuvʁ.la.na.tyʁ/","La Maison - House (Phrases)","Pars en randonnée et découvre la nature.","Go hiking and discover nature."
"Découvre le monde","Discover the world","/de.kuvʁ.lə.mɔ̃d/","La Maison - House (Phrases)","Voyage et découvre le monde avec émerveillement.","Travel and discover the world with wonder."
"Découvre par toi-même","Discover by yourself","/de.kuvʁ.paʁ.twa.mɛm/","La Maison - House (Phrases)","Il est important de découvre par toi-même la vérité.","It is important to discover the truth by yourself."
"Découvre tes forces","Discover your strengths","/de.kuvʁ.te.fɔʁs/","La Maison - House (Phrases)","Dans les défis, découvre tes forces cachées.", "In challenges, discover your hidden strengths."                                           
"Découvre un trésor","Discover a treasure","/de.kuvʁ.œ̃.tʁe.zɔʁ/","La Maison - House (Phrases)","L’enfant découvre un trésor dans le jardin.","The child discovers a treasure in the garden."
"la chanson","song","/la ʃɑ̃ˈsɔ̃/","La Musique - Music  ","Le concert présente la chanson sur le piano.","The concert presents the song on the piano."
"la guitare","guitar","/la ɡiˈtaːʁ/","La Musique - Music  ","La guitare joue la chanson avec un bon rythme.","The guitar plays the song with a good rhythm."    
"la musique","music","/la myˈzik/","La Musique - Music  ","La musique du piano remplit le concert.","The music from the piano fills the concert."
"la note","note","/la nɔt/","La Musique - Music  ","Le violon produit une belle note dans la musique.","The violin produces a beautiful note in the music."
"le concert","concert","/lə kɔ̃ˈsɛːʁ/","La Musique - Music  ","Le concert présente la chanson sur le piano.","The concert presents the song on the piano."
"le piano","piano","/lə pjaˈno/","La Musique - Music  ","La musique du piano remplit le concert.","The music from the piano fills the concert."
"le rythme","rhythm","/lə ʁitm/","La Musique - Music  ","La note de la guitare suit le rythme.","The note from the guitar follows the rhythm."
"le violon","violin","/lə vjoˈlɔ̃/","La Musique - Music  ","Le violon produit une belle note dans la musique.","The violin produces a beautiful note in the music."
"Imagine avec audace","Imagine with boldness","/i.ma.ʒin.a.vɛk.o.das/","La Musique - Music (Phrases)","Pour créer, imagine avec audace.", "To create, imagine boldly."
"Imagine en couleurs","Imagine in colors","/i.ma.ʒin.ɑ̃.ku.lœʁ/","La Musique - Music (Phrases)","Pour rêver, imagine en couleurs vives.", "To dream, imagine in bright colors."
"Imagine l’infini","Imagine the infinite","/i.ma.ʒin.lɛ̃.fi.ni/","La Musique - Music (Phrases)","Ferme les yeux et imagine l’infini.","Close your eyes and imagine the infinite."
"Imagine la paix","Imagine peace","/i.ma.ʒin.la.pɛ/","La Musique - Music (Phrases)","Tout le monde aspire à imagine la paix.","Everyone aspires to imagine peace."
"Imagine sans frontières","Imagine without borders","/i.ma.ʒin.sɑ̃.fʁɔ̃.tjɛʁ/","La Musique - Music (Phrases)","Imagine sans frontières pour rêver grand.","Imagine without borders to dream big."
"Imagine ton bonheur","Imagine your happiness","/i.ma.ʒin.tɔ̃.bɔ.nœʁ/","La Musique - Music (Phrases)","Imagine ton bonheur et poursuis-le.","Imagine your happiness and pursue it."
"Imagine un futur","Imagine a future","/i.ma.ʒin.œ̃.fy.tyʁ/","La Musique - Music (Phrases)","Imagine un futur rempli d’espoir.","Imagine a future full of hope."
"Imagine un voyage","Imagine a journey","/i.ma.ʒin.œ̃.vwa.jaʒ/","La Musique - Music (Phrases)","Chaque enfant aime imagine un voyage extraordinaire.","Every child loves to imagine an extraordinary journey."
"l’arbre","tree","/laʁbʁ/","La Nature - Nature  ","L’arbre dans la forêt est éclairé par le soleil.","The tree in the forest is lit by the sun."
"la fleur","flower","/la flœːʁ/","La Nature - Nature  ","La fleur pousse dans la nature près de la rivière.","The flower grows in nature near the river."
"la forêt","forest","/la fɔˈʁɛ/","La Nature - Nature  ","L’arbre dans la forêt est éclairé par le soleil.","The tree in the forest is lit by the sun."
"la montagne","mountain","/la mɔ̃ˈtaɲ/","La Nature - Nature  ","La rivière coule près de la montagne sous le ciel.","The river flows near the mountain under the sky."
"la nature","nature","/la naˈtyːʁ/","La Nature - Nature  ","La nature est belle avec la fleur et l’arbre.","Nature is beautiful with the flower and the tree."
"la rivière","river","/la ʁiˈvjɛːʁ/","La Nature - Nature  ","La rivière coule près de la montagne sous le ciel.","The river flows near the mountain under the sky."
"le ciel","sky","/lə sjɛl/","La Nature - Nature  ","La rivière coule près de la montagne sous le ciel.","The river flows near the mountain under the sky."
"le soleil","sun","/lə sɔˈlɛj/","La Nature - Nature  ","Le soleil brille sur la forêt chaque matin.","The sun shines on the forest every morning."
"Vis avec joie","Live with joy","/vis.a.vɛk.ʒwa/","La Nature - Nature (Phrases)","Vis avec joie et partage ton bonheur.","Live with joy and share your happiness."
"Vis chaque jour","Live every day","/vis.ʃak.ʒuʁ/","La Nature - Nature (Phrases)","Vis chaque jour comme si c’était le dernier.","Live every day as if it were the last."
"Vis en liberté","Live in freedom","/vis.ɑ̃.li.bɛʁ.te/","La Nature - Nature (Phrases)","Chaque être humain mérite de vis en liberté.","Every human being deserves to live in freedom."
"Vis l’instant","Live in the moment","/vis.lɛ̃s.tɑ̃/","La Nature - Nature (Phrases)","Il faut apprendre à vis l’instant sans crainte.","You must learn to live in the moment without fear."
"Vis pleinement","Live fully","/vis.plɛn.mɑ̃/","La Nature - Nature (Phrases)","Vis pleinement chaque moment de ta vie.","Live fully every moment of your life."
"Vis pour aimer","Live to love","/vis.puʁ.e.me/","La Nature - Nature (Phrases)","Nous devrions tous vis pour aimer.","We should all live to love."
"Vis sans regrets","Live without regrets","/vis.sɑ̃.ʁə.ɡʁɛ/","La Nature - Nature (Phrases)","Il est important de vis sans regrets.","It is important to live without regrets."
"Vis ta vérité","Live your truth","/vis.ta.ve.ʁi.te/","La Nature - Nature (Phrases)","N’aie pas peur de vis ta vérité.","Do not be afraid to live your truth."
"l'eau","water","/lo/","La Nourriture - Food","L'eau est essentielle avec la nourriture épicée.","Water is essential with spicy food."
"la nourriture","food","/la nuʁiˈtyːʁ/","La Nourriture - Food","La nourriture française inclut beaucoup de fromage.","French food includes a lot of cheese."
"la pomme","apple","/la pɔm/","La Nourriture - Food","Après le dîner, je bois le café et mange la pomme.","After dinner, I drink coffee and eat the apple."
"la soupe","soup","/la sup/","La Nourriture - Food","Je mange du pain avec la soupe tous les soirs.","I eat bread with soup every evening."
"la viande","meat","/la vjɑ̃d/","La Nourriture - Food","La viande et le poisson sont servis avec le vin.","Meat and fish are served with wine."
"le fromage","cheese","/lə fʁoˈmaːʒ/","La Nourriture - Food","La nourriture française inclut beaucoup de fromage.","French food includes a lot of cheese."
"le pain","bread","/lə pɛ̃/","La Nourriture - Food","Je mange du pain avec la soupe tous les soirs.","I eat bread with soup every evening."
"le poisson","fish","/lə pwaˈsɔ̃/","La Nourriture - Food","La viande et le poisson sont servis avec le vin.","Meat and fish are served with wine."
"Fais attention","Be careful","/fɛ.a.tɑ̃.sjɔ̃/","La Nourriture - Food (Phrases)","Fais attention en coupant la viande.","Be careful when cutting the meat."
"Fais confiance","Trust","/fɛ.kɔ̃.fjɑ̃s/","La Nourriture - Food (Phrases)","Fais confiance, ce fromage est délicieux.","Trust, this cheese is delicious."
"Fais du sport","Do some sports","/fɛ.dy.spɔʁ/","La Nourriture - Food (Phrases)","Fais du sport avant de boire de l'eau.","Do some sports before drinking water."
"Fais un choix","Make a choice","/fɛ.œ̃.ʃwa/","La Nourriture - Food (Phrases)","Fais un choix entre le poisson et la viande.","Make a choice between fish and meat."
"Fais un dessin","Draw a picture","/fɛ.œ̃.de.sɛ̃/","La Nourriture - Food (Phrases)","Fais un dessin de la pomme pour le projet.","Draw a picture of the apple for the project."
"Fais un effort","Make an effort","/fɛ.œ̃.nɛ.fɔʁ/","La Nourriture - Food (Phrases)","Fais un effort pour goûter la soupe.","Make an effort to taste the soup."
"Fais une pause","Take a break","/fɛ.yn.pos/","La Nourriture - Food (Phrases)","Fais une pause après avoir mangé la nourriture.","Take a break after eating the food."
"Fais vite","Do it quickly","/fɛ.vit/","La Nourriture - Food (Phrases)","Fais vite, le dîner est prêt.","Do it quickly, dinner is ready."
"l’exercice","exercise","/lɛɡzɛʁˈsis/","La Santé - Health","La santé dépend de la nourriture et de l’exercice.","Health depends on food and exercise."
"l’hôpital","hospital","/lopiˈtal/","La Santé - Health","Le médecin travaille à l’hôpital pour soigner la maladie.","The doctor works at the hospital to treat the illness."
"la maladie","illness","/la maˈladi/","La Santé - Health","La nourriture saine aide à éviter la maladie.","Healthy food helps avoid illness."
"la santé","health","/la sɑ̃ˈte/","La Santé - Health","La santé dépend de la nourriture et de l’exercice.","Health depends on food and exercise."
"le corps","body","/lə kɔːʁ/","La Santé - Health","Le sommeil est essentiel pour le corps.","Sleep is essential for the body."
"le médecin","doctor","/lə medˈsɛ̃/","La Santé - Health","Le médecin travaille à l’hôpital pour soigner la maladie.","The doctor works at the hospital to treat the illness."
"le médicament","medicine","/lə mediˈkamɑ̃/","La Santé - Health","Je prends le médicament avec l’eau chaque matin.","I take the medicine with water every morning."
"le sommeil","sleep","/lə sɔˈmɛj/","La Santé - Health","Le sommeil est essentiel pour le corps.","Sleep is essential for the body."
"Rêve à voix haute","Dream out loud","/ʁɛv.a.vwa.ot/","La Santé - Health (Phrases)","Rêve à voix haute avec le médecin.","Dream out loud with the doctor."
"Rêve d’aventure","Dream of adventure","/ʁɛv.da.vɑ̃.tyʁ/","La Santé - Health (Phrases)","Rêve d’aventure en faisant de l’exercice.","Dream of adventure while exercising."
"Rêve d’un monde","Dream of a world","/ʁɛv.dœ̃.mɔ̃d/","La Santé - Health (Phrases)","Rêve d’un monde sans maladie.","Dream of a world without illness."
"Rêve de liberté","Dream of freedom","/ʁɛv.də.li.bɛʁ.te/","La Santé - Health (Phrases)","Rêve de liberté pour un corps sain.","Dream of freedom for a healthy body."
"Rêve en couleur","Dream in color","/ʁɛv.ɑ̃.ku.lœʁ/","La Santé - Health (Phrases)","Rêve en couleur pendant le sommeil.","Dream in color during sleep."
"Rêve éveillé","Daydream","/ʁɛv.e.ve.je/","La Santé - Health (Phrases)","Rêve éveillé en buvant de l’eau au parc.","Daydream while drinking water at the park."
"Rêve grand","Dream big","/ʁɛv.ɡʁɑ̃/","La Santé - Health (Phrases)","Rêve grand pour une meilleure santé.","Dream big for better health."
"Rêve toujours","Always dream","/ʁɛv.tu.ʒuʁ/","La Santé - Health (Phrases)","Rêve toujours d’une bonne santé.","Always dream of good health."
"l’écran","screen","/leˈkʁɑ̃/","La Technologie - Technology  ","L’écran affiche des images grâce à l’internet.","The screen displays images thanks to the internet."
"l’internet","internet","/lɛ̃tɛʁˈnɛt/","La Technologie - Technology  ","L’écran affiche des images grâce à l’internet.","The screen displays images thanks to the internet."
"l’ordinateur","computer","/lɔʁdinaˈtœːʁ/","La Technologie - Technology  ","La technologie moderne inclut l’ordinateur et le téléphone.","Modern technology includes the computer and the phone."
"la souris","mouse","/la suˈʁi/","La Technologie - Technology  ","La souris aide à naviguer sur l’écran.","The mouse helps navigate on the screen."
"la technologie","technology","/la tɛknoˈloʒi/","La Technologie - Technology  ","La technologie moderne inclut l’ordinateur et le téléphone.","Modern technology includes the computer and the phone."
"le clavier","keyboard","/lə klaˈvje/","La Technologie - Technology  ","Je tape sur le clavier pour utiliser le logiciel.","I type on the keyboard to use the software."
"le logiciel","software","/lə lɔʒiˈsjɛl/","La Technologie - Technology  ","Je tape sur le clavier pour utiliser le logiciel.","I type on the keyboard to use the software."
"le téléphone","phone","/lə teleˈfɔn/","La Technologie - Technology  ","Le téléphone se connecte à l’internet facilement.","The phone connects to the internet easily."
"Ris à gorge déployée","Laugh heartily","/ʁi.a.ɡɔʁʒ.de.plwa.je/","La Technologie - Technology (Phrases)","Elle ris à gorge déployée en écoutant la blague.","She laughs heartily while listening to the joke."
"Ris aux éclats","Laugh out loud","/ʁi.o.ze.kla/","La Technologie - Technology (Phrases)","Tout le monde ris aux éclats pendant le film.","Everyone laughs out loud during the movie."
"Ris avec eux","Laugh with them","/ʁi.a.vɛk.ø/","La Technologie - Technology (Phrases)","Partage un moment et ris avec eux.","Share a moment and laugh with them."
"Ris de bon cœur","Laugh wholeheartedly","/ʁi.də.bɔ̃.kœʁ/","La Technologie - Technology (Phrases)","Ris de bon cœur avec tes amis proches.","Laugh wholeheartedly with your close friends."
"Ris de bonheur","Laugh with happiness","/ʁi.də.bɔ.nœʁ/","La Technologie - Technology (Phrases)","Ris de bonheur quand la vie t’offre de belles surprises.","Laugh with happiness when life gives you beautiful surprises."
"Ris en silence","Laugh in silence","/ʁi.ɑ̃.si.lɑ̃s/","La Technologie - Technology (Phrases)","Dans la salle, elle ris en silence pour ne pas déranger.","In the hall, she laughs in silence to not disturb."
"Ris sans raison","Laugh without reason","/ʁi.sɑ̃.ʁɛ.zɔ̃/","La Technologie - Technology (Phrases)","Parfois, il est bon de ris sans raison.","Sometimes, it is good to laugh without reason."
"Ris sous cape","Laugh secretly","/ʁi.su.kap/","La Technologie - Technology (Phrases)","Il ris sous cape en voyant la scène.","He laughs secretly while watching the scene."
"la boutique","shop","/la buˈtik/","La Ville - City  ","La rue près de la boutique est toujours bondée.","The street near the shop is always crowded."
"la place","square","/la plas/","La Ville - City  ","La place accueille un marché près de la rue.","The square hosts a market near the street."
"la rue","street","/la ʁy/","La Ville - City  ","La rue près de la boutique est toujours bondée.","The street near the shop is always crowded."
"la ville","city","/la vil/","La Ville - City  ","La ville est connue pour la place centrale animée.","The city is known for its lively central square."
"le bâtiment","building","/lə baˈtimɑ̃/","La Ville - City  ","Le bâtiment domine le parc avec sa hauteur.","The building towers over the park with its height."
"le métro","subway","/lə meˈtʁo/","La Ville - City  ","Le métro passe sous le pont chaque matin.","The subway passes under the bridge every morning."
"le parc","park","/lə paʁk/","La Ville - City  ","Le bâtiment domine le parc avec sa hauteur.","The building towers over the park with its height."
"le pont","bridge","/lə pɔ̃/","La Ville - City  ","Le métro passe sous le pont chaque matin.","The subway passes under the bridge every morning."
"Ose avancer","Dare to move forward","/oz.a.vɑ̃.se/","La Ville - City (Phrases)","Même après un échec, ose avancer sans peur.","Even after a failure, dare to move forward without fear."
"Ose briller","Dare to shine","/oz.bʁi.je/","La Ville - City (Phrases)","N’aie pas peur, ose briller devant le monde.","Don’t be afraid, dare to shine in front of the world."
"Ose changer","Dare to change","/oz.ʃɑ̃.ʒe/","La Ville - City (Phrases)","Pour réussir, il faut ose changer ses habitudes.","To succeed, you have to dare to change your habits."
"Ose défier","Dare to challenge","/oz.de.fje/","La Ville - City (Phrases)","Ose défier tes limites pour grandir.","Dare to challenge your limits to grow."
"Ose espérer","Dare to hope","/oz.ɛs.pe.ʁe/","La Ville - City (Phrases)","Même dans la nuit, ose espérer un nouvel avenir.","Even in the night, dare to hope for a new future."
"Ose être toi","Dare to be yourself","/oz.ɛ.tʁə.twa/","La Ville - City (Phrases)","La liberté commence quand tu ose être toi.","Freedom begins when you dare to be yourself."
"Ose tenter","Dare to try","/oz.tɑ̃.te/","La Ville - City (Phrases)","N’hésite pas, ose tenter ta chance.","Don’t hesitate, dare to try your luck."
"Ose tout","Dare everything","/oz.tu/","La Ville - City (Phrases)","Quand tu crois en toi, tu peux ose tout.","When you believe in yourself, you can dare everything."
"l’année","year","/laˈne/","Le Temps - Time","L’année dernière, le matin était frais.","Last year, the morning was fresh."
"l’après-midi","afternoon","/lapʁɛˈmidi/","Le Temps - Time","La nuit est calme après l’après-midi chargé.","The night is calm after a busy afternoon."
"la semaine","week","/la səˈmɛn/","Le Temps - Time","La semaine commence par un beau jour.","The week starts with a beautiful day."
"le jour","day","/lə ʒuːʁ/","Le Temps - Time","La semaine commence par un beau jour.","The week starts with a beautiful day."
"le matin","morning","/lə maˈtɛ̃/","Le Temps - Time","L’année dernière, le matin était frais.","Last year, the morning was fresh."
"le mois","month","/lə mwa/","Le Temps - Time","Chaque mois, nous planifions le jour des réunions.","Every month, we plan the day of the meetings."
"le soir","evening","/lə swaːʁ/","Le Temps - Time","Le soir, je vérifie l’heure pour me reposer.","In the evening, I check the time to rest."
"le temps","time/weather","/lə tɑ̃/","Le Temps - Time","Le temps passe vite pendant la semaine.","Time passes quickly during the week."
